Ngày,Thời điểm cập nhật giá mới,Thời điểm cập nhật dữ liệu,Mã vàng,Loại vàng,Giá mua,Giá bán,Day change buy,Day change sell,Currency,Số lần update
2026-04-20,10:30:00,2026-04-20 10:59:35.216,SJ9999,SJC Ring,167800000.0,170800000,,,,1
2026-04-20,10:30:00,2026-04-20 10:59:35.216,SJL1L10,SJC 9999,168300000.0,171300000,,,,1
2026-04-20,10:30:00,2026-04-20 10:59:35.216,VIETTINMSJC,Viettin SJC,168300000.0,171300000,,,,1
2026-04-20,10:30:00,2026-04-20 10:59:35.216,VNGSJC,VN Gold SJC,168300000.0,171300000,,,,1
2026-04-20,10:30:00,2026-04-20 10:59:35.216,XAUUSD,World Gold (XAU/USD),4796.2,0,,,,1
2026-04-20,11:30:00,2026-04-20 11:59:34.624,BT9999NTT,Bao Tin 9999,168000000.0,171000000,,,,1
2026-04-20,11:30:00,2026-04-20 11:59:34.624,BTSJC,Bao Tin SJC,168300000.0,171300000,,,,1
2026-04-20,11:30:00,2026-04-20 11:59:34.624,DOHCML,DOJI HCM,168300000.0,171300000,,,,1
2026-04-20,11:30:00,2026-04-20 11:59:34.624,DOHNL,DOJI Hanoi,168300000.0,171300000,,,,1
2026-04-20,11:30:00,2026-04-20 11:59:34.624,DOJINHTV,DOJI Jewelry,168300000.0,171300000,,,,1
2026-04-20,11:30:00,2026-04-20 11:59:34.624,PQHN24NTT,PNJ 24K,168000000.0,171000000,,,,1
2026-04-20,11:30:00,2026-04-20 11:59:34.624,PQHNVM,PNJ Hanoi,168300000.0,171300000,,,,1
2026-04-20,11:30:00,2026-04-20 11:59:34.624,SJ9999,SJC Ring,167800000.0,170800000,,,,1
2026-04-20,11:30:00,2026-04-20 11:59:34.624,SJL1L10,SJC 9999,168300000.0,171300000,,,,1
2026-04-20,11:30:00,2026-04-20 11:59:34.624,VIETTINMSJC,Viettin SJC,168300000.0,171300000,,,,1
2026-04-20,11:30:00,2026-04-20 11:59:34.624,VNGSJC,VN Gold SJC,168300000.0,171300000,,,,1
2026-04-20,11:30:00,2026-04-20 11:59:34.624,XAUUSD,World Gold (XAU/USD),4796.6,0,,,,1
2026-04-20,12:30:00,2026-04-20 12:59:34.093,BT9999NTT,Bao Tin 9999,168000000.0,171000000,,,,1
2026-04-20,12:30:00,2026-04-20 12:59:34.093,BTSJC,Bao Tin SJC,168300000.0,171300000,,,,1
2026-04-20,12:30:00,2026-04-20 12:59:34.093,DOHCML,DOJI HCM,168300000.0,171300000,,,,1
2026-04-20,12:30:00,2026-04-20 12:59:34.093,DOHNL,DOJI Hanoi,168300000.0,171300000,,,,1
2026-04-20,12:30:00,2026-04-20 12:59:34.093,DOJINHTV,DOJI Jewelry,168300000.0,171300000,,,,1
2026-04-20,12:30:00,2026-04-20 12:59:34.093,PQHN24NTT,PNJ 24K,168000000.0,171000000,,,,1
2026-04-20,12:30:00,2026-04-20 12:59:34.093,PQHNVM,PNJ Hanoi,168300000.0,171300000,,,,1
2026-04-20,12:30:00,2026-04-20 12:59:34.093,SJ9999,SJC Ring,167800000.0,170800000,,,,1
2026-04-20,12:30:00,2026-04-20 12:59:34.093,SJL1L10,SJC 9999,168300000.0,171300000,,,,1
2026-04-20,12:30:00,2026-04-20 12:59:34.093,VIETTINMSJC,Viettin SJC,168300000.0,171300000,,,,1
2026-04-20,12:30:00,2026-04-20 12:59:34.093,VNGSJC,VN Gold SJC,168300000.0,171300000,,,,1
2026-04-20,12:30:00,2026-04-20 12:59:34.093,XAUUSD,World Gold (XAU/USD),4789.8,0,,,,1
